City,Cloudiness,Country,Date,Humidity,Lat,Lan,Max_Temp,Wind_Speed
kulhudhuffushi,51,MV,1570998915,75,6.62,73.07,82.33,6.55
rafaela,100,AR,1570998915,48,-31.25,-61.49,73.99,8.99
santa isabel,1,MX,1570998915,11,32.63,-115.58,84.2,4.7
buchanan,75,LR,1570998915,94,5.88,-10.05,77,3.11
esperance,28,AU,1570998915,93,-33.86,121.89,48.2,7.12
mirnyy,54,RU,1570998916,90,56.57,36.46,45.61,10.05
kudahuvadhoo,66,MV,1570998916,72,2.67,72.89,81.52,5.86
cabo san lucas,90,MX,1570998916,88,22.89,-109.91,90,20.8
burnie,11,AU,1570998916,80,-41.05,145.91,53.01,5.01
bud,0,NO,1570998916,86,62.91,6.91,39.2,3.36
abu kamal,0,SY,1570998916,29,34.45,40.92,75.25,5.88
bermeo,20,ES,1570998917,100,43.42,-2.72,66.99,2.24
sragen,52,ID,1570998917,88,-7.43,111.02,70.45,7.5
dvinskoy,98,RU,1570998917,89,62.16,45.12,42.6,11.1
hihifo,,,,,,,,
middelburg,74,NL,1570998917,87,51.5,3.61,61,18.34
tamiahua,0,MX,1570998918,77,21.28,-97.45,75.43,8.16
ciro marina,0,IT,1570998918,73,39.37,17.13,69.31,3
coquimbo,75,CL,1570998918,72,-29.95,-71.34,60.8,10.29
perth,75,AU,1570998918,93,-31.95,115.86,59,6.93
tumannyy,,,,,,,,
eyl,0,SO,1570998918,84,7.98,49.82,80.29,5.41
dargaville,100,NZ,1570998919,95,-35.94,173.86,54.41,15.95
tomari,64,RU,1570998919,45,47.76,142.06,42.66,14.49
limbang,75,BN,1570998919,94,4.75,115.01,78.8,2.24
hirtshals,100,DK,1570998919,96,57.59,9.96,52,8.01
waingapu,66,ID,1570998919,71,-9.65,120.26,79.2,7.93
lyubuchany,55,RU,1570998920,71,55.25,37.55,51.8,11.18
raychikhinsk,0,RU,1570998920,57,49.8,129.4,23.22,8.06
chukhloma,57,RU,1570998920,90,58.76,42.68,40.3,9.29
carballo,20,ES,1570998920,100,43.21,-8.69,57.99,4.7
ust-nera,100,RU,1570998920,96,64.57,143.24,4.44,3.01
natal,75,BR,1570998921,78,-5.81,-35.21,80.6,9.17
khonuu,,,,,,,,
wulanhaote,,,,,,,,
meyungs,,,,,,,,
san ignacio,73,PE,1570998921,82,-5.15,-79,69.4,2.14
porrentruy,0,CH,1570998921,66,47.42,7.08,62.01,1.12
parana,75,BR,1570998922,66,-7.52,-72.89,87.8,3.36
bemidji,40,US,1570998922,74,47.48,-94.89,39,13.87
puerto escondido,20,MX,1570998922,70,15.86,-97.07,89.6,6.93
linjiang,32,CN,1570998923,88,41.81,126.91,21.61,2.1
atambua,5,ID,1570998923,59,-9.11,124.89,68.31,3.41
breves,100,BR,1570998923,78,-1.68,-50.48,80.11,4.34
pacific grove,1,US,1570998923,59,36.62,-121.92,81,5.82
ballater,75,GB,1570998923,93,57.05,-3.04,51.8,5.82
yanan,,,,,,,,
tinaquillo,34,VE,1570998923,72,9.92,-68.31,76.51,4.41
alofi,75,NU,1570998924,69,-19.06,-169.92,77,16.11
maniitsoq,0,GL,1570998924,64,65.42,-52.9,31.91,14.94
alirajpur,18,IN,1570998924,60,22.3,74.35,73.31,2.03
ossora,28,RU,1570998924,61,59.24,163.07,35.76,8.77
rosario,90,UY,1570998924,63,-34.31,-57.35,60.8,19.46
eskasem,,,,,,,,
yaan,18,NG,1570998925,91,7.38,8.57,76.03,1.6
imbituba,92,BR,1570998925,83,-28.24,-48.67,75.2,14.99
peleduy,100,RU,1570998925,74,59.63,112.75,24.24,9.62
nioki,1,CD,1570998925,72,-2.72,17.69,74.97,1.49
luderitz,0,NA,1570998926,82,-26.65,15.16,59,6.93
champerico,40,MX,1570998926,52,16.38,-93.6,87.8,4.7
qibili,,,,,,,,
walvis bay,76,NA,1570998926,82,-22.95,14.51,63,9.17
frei paulo,0,BR,1570998926,75,-10.55,-37.54,71.11,8.72
mastic beach,20,US,1570998926,39,40.77,-72.85,66.2,4.33
wahpeton,100,US,1570998926,74,46.27,-96.61,41,12.75
quatre cocos,75,MU,1570998927,88,-20.21,57.76,73,9.17
tarauaca,46,BR,1570998927,46,-8.16,-70.77,89.56,4.62
okhotsk,82,RU,1570998927,64,59.36,143.24,15.58,16.69
khanpur,90,PK,1570998927,26,28.65,70.66,82.06,7.06
oktyabrskiy,14,RU,1570998927,71,55.61,37.97,51.8,11.18
magistralnyy,100,RU,1570998927,75,56.17,107.45,21.99,5.19
sinkat,,,,,,,,
gimli,83,CA,1570998928,92,50.63,-96.99,37.99,5.99
russell,1,US,1570998928,23,38.9,-98.86,69.01,2.91
la serena,75,CL,1570998928,72,-29.9,-71.25,60.8,10.29
taoudenni,34,ML,1570998928,26,22.68,-3.98,90.34,18.19
hvolsvollur,,,,,,,,
kabo,7,CF,1570998928,90,7.69,18.62,72.27,1.68
tomino,100,RU,1570998928,82,54.95,61.17,46.31,15.45
praia da vitoria,40,PT,1570998929,72,38.73,-27.07,66.2,19.51
deputatskiy,79,RU,1570998929,89,69.3,139.9,3.25,5.04
pajapan,75,MX,1570998929,70,18.26,-94.69,86,17.22
kirakira,2,SB,1570998929,73,-10.46,161.92,80.29,2.51
dogondoutchi,0,NE,1570998929,40,13.64,4.03,90.75,1.96
berlevag,75,NO,1570998930,63,70.86,29.09,33.8,3.36
chernyshevskiy,100,RU,1570998930,77,63.01,112.47,26.29,9.79
maxixe,20,MZ,1570998930,68,-23.86,35.35,71.6,3.36
macon,90,US,1570998930,61,32.84,-83.63,84.2,4.7
chandbali,37,IN,1570998930,89,20.77,86.74,75.27,4.74
kattivakkam,20,IN,1570998930,79,13.22,80.32,84.2,3.36
salinopolis,37,BR,1570998931,80,-0.61,-47.36,81.19,19.72
simao,83,CN,1570998931,96,22.76,100.79,61.03,2.52
jiwani,0,PK,1570998931,78,25.05,61.74,80.74,9.9
vestmannaeyjar,100,IS,1570998931,80,63.44,-20.27,44.87,26.16
laguna,75,BZ,1570998931,88,16.17,-88.94,80.6,4.7
senneterre,90,CA,1570998931,62,48.39,-77.24,51.8,17.22
grand centre,,,,,,,,
hvide sande,100,DK,1570998932,93,56.01,8.13,60.01,13.87
belyy yar,9,RU,1570998932,81,53.6,91.39,36.09,1.84
krasnyy oktyabr,0,RU,1570998932,90,56.12,38.88,45.55,9.01
flinders,0,AU,1570998932,100,-34.58,150.85,55.99,4.7
tevaitoa,32,PF,1570998932,73,-16.78,-151.5,76.5,13.1
cap malheureux,75,MU,1570998932,88,-19.98,57.61,73,9.17
mahon,20,IE,1570998933,93,51.89,-8.4,48.99,5.82
rocha,100,UY,1570998933,72,-34.48,-54.34,51.04,14.6
bairiki,,,,,,,,
great falls,1,US,1570998933,33,47.5,-111.29,61,6.93
prachin buri,100,TH,1570998933,94,14.05,101.37,74.46,4.86
yerbogachen,96,RU,1570998933,75,61.28,108.01,27.46,8.93
kristiansund,0,NO,1570998934,80,63.12,7.73,39.2,10.29
moyale,91,ET,1570998934,83,3.52,39.05,70.75,4.63
carauari,86,BR,1570998934,49,-4.88,-66.9,91.42,1.38
wajima,67,JP,1570998934,71,37.4,136.9,61.61,11.12
rock sound,46,BS,1570998934,73,24.9,-76.2,80.28,11.77
liverpool,36,GB,1570998935,100,53.41,-2.98,51.01,4.7
merauke,85,ID,1570998935,88,-8.49,140.4,71.6,6.72
kaeo,100,NZ,1570998935,100,-35.1,173.78,57,37.84
orangeburg,1,US,1570998935,51,33.49,-80.86,86,4.7
mackay,90,CA,1570998935,100,53.65,-115.58,37.4,3.36
mnogovershinnyy,78,RU,1570998935,66,53.94,139.92,23.95,12.71
nenjiang,0,CN,1570998936,49,49.17,125.23,24.75,6.39
anchorage,1,US,1570998936,74,61.22,-149.89,37.99,6.93
iquitos,40,PE,1570998936,319,-3.75,-73.25,42.8,5.82
laukaa,75,FI,1570998936,93,62.42,25.95,34,3.36
san pedro,100,AR,1570998936,54,-33.68,-59.66,62.01,11.01
friesach,23,AT,1570998936,93,46.95,14.41,53.01,3.36
nieves,39,MX,1570998937,38,24,-103.02,77.94,4.75
shanghai,97,CN,1570998937,88,31.23,121.49,73,2.24
gaborone,76,BW,1570998937,19,-24.66,25.91,80.6,3.36
broken hill,0,AU,1570998937,62,-31.97,141.45,59,12.75
bechem,100,GH,1570998938,99,7.09,-2.02,71.04,2.06
bolshaya martynovka,0,RU,1570998938,67,47.27,41.67,53.6,9.6
eureka,1,US,1570998938,81,40.8,-124.16,62.01,5.82
codrington,89,AU,1570998938,100,-28.95,153.24,57.99,6.93
tukrah,,,,,,,,
holland,90,US,1570998938,65,42.79,-86.11,48,17.22
cheuskiny,,,,,,,,
bay roberts,40,CA,1570998938,93,47.58,-53.28,63,16.11
lukovetskiy,100,RU,1570998939,97,64.29,41.92,39.63,5.53
mweka,100,CD,1570998939,97,-4.85,21.56,69.84,2.06
urumqi,,,,,,,,
moramanga,93,MG,1570998939,89,-18.95,48.23,60.28,2.03
tautira,20,PF,1570998939,61,-17.73,-149.15,80.6,5.82
scarborough,95,GB,1570998939,87,54.28,-0.41,52,14.99
san quintin,100,PH,1570998940,85,17.54,120.52,70.88,5.24
kuusamo,90,FI,1570998940,94,65.96,29.19,32,3.36
kamenskoye,,,,,,,,
wah,,,,,,,,
oak ridge,1,US,1570998940,52,36.01,-84.27,73.4,5.63
salo,32,FI,1570998940,100,60.38,23.13,43,1.12
muravlenko,100,RU,1570998941,85,63.79,74.5,39.92,6.12
bogatoye,100,RU,1570998941,93,53.06,51.33,46.9,10.54
hofn,97,IS,1570998941,65,64.25,-15.21,43.52,3.61
rungata,,,,,,,,
pandharpur,56,IN,1570998941,81,17.68,75.33,76.42,6.66
lakes entrance,3,AU,1570998941,93,-37.88,147.99,46.99,6.27
nampa,1,US,1570998941,26,43.57,-116.56,61,3.36
durgapur,0,IN,1570998942,68,23.54,87.34,72.32,3.82
mutsamudu,,,,,,,,
muros,90,ES,1570998942,100,42.77,-9.06,59,1.12
port-gentil,40,GA,1570998942,94,-0.72,8.78,77,6.93
lagos,20,NG,1570998942,88,6.46,3.39,78.8,2.24
panapakkam,,,,,,,,
marovoay,40,MG,1570998942,83,-16.11,46.64,78.8,2.24
khrustalnyy,,,,,,,,
norman wells,75,CA,1570998943,86,65.28,-126.83,30.2,8.05
kotovo,100,RU,1570998943,75,50.32,44.8,56.03,15.25
leirvik,100,NO,1570998943,87,59.78,5.5,48.2,6.93
tabou,100,CI,1570998943,94,4.42,-7.36,74.82,2.86
kiunga,99,PG,1570998943,98,-6.12,141.3,72.48,2.13
krabi,20,TH,1570998944,100,8.06,98.92,77,5.66
ahuimanu,40,US,1570998944,70,21.44,-157.84,87.01,6.93
mudyuga,,,,,,,,
shimoda,100,JP,1570998944,84,34.7,138.93,66.99,37.33
vanavara,100,RU,1570998944,68,60.35,102.28,29.43,7.99
pervomayskoye,100,RU,1570998944,72,57.07,86.23,44.8,6.89
malkangiri,88,IN,1570998945,96,18.35,81.9,72.43,1.47
mokhsogollokh,75,RU,1570998945,93,61.4,128.95,14.09,7.47
polis,0,CY,1570998945,47,35.04,32.42,77,3.36
portobelo,40,PA,1570998945,88,9.55,-79.65,82,3.36
manavalakurichi,40,IN,1570998945,100,8.13,77.3,77,12.65
mirabad,0,IR,1570998945,22,28.27,61.33,65.86,3.47
ilebo,100,CD,1570998946,97,-4.33,20.59,70.9,1.42
